iter	Passed	Remaining
571	1786	1336
572	1789	1333
573	1792	1330
574	1794	1326
575	1797	1322
576	1799	1319
577	1801	1315
578	1804	1311
579	1807	1308
580	1809	1305
581	1812	1302
582	1815	1298
583	1817	1294
584	1820	1291
585	1823	1287
586	1825	1284
587	1827	1280
588	1829	1276
589	1832	1273
590	1835	1270
591	1838	1267
592	1840	1263
593	1842	1259
594	1844	1255
595	1847	1252
596	1849	1248
597	1852	1245
598	1854	1241
599	1857	1238
600	1861	1235
601	1863	1232
602	1865	1228
603	1869	1225
604	1871	1222
605	1874	1218
606	1877	1215
607	1881	1213
608	1885	1210
609	1889	1207
610	1892	1204
611	1894	1201
612	1898	1198
613	1901	1195
614	1903	1191
615	1906	1188
616	1908	1184
617	1912	1181
618	1914	1178
619	1917	1175
620	1919	1171
621	1922	1168
622	1925	1165
623	1928	1162
624	1931	1159
625	1934	1155
626	1936	1152
627	1941	1150
628	1944	1146
629	1947	1143
630	1949	1140
631	1952	1136
632	1955	1133
633	1958	1130
634	1960	1127
635	1963	1123
636	1965	1120
637	1971	1118
638	1974	1115
639	1978	1112
640	1981	1109
641	1985	1107
642	1987	1103
643	1990	1100
644	1993	1097
645	1995	1093
646	1998	1090
647	2000	1086
648	2003	1083
649	2006	1080
650	2008	1076
651	2010	1073
652	2013	1070
653	2016	1066
654	2018	1063
655	2021	1059
656	2023	1056
657	2025	1052
658	2028	1049
659	2030	1046
660	2033	1042
661	2035	1039
662	2037	1035
663	2040	1032
664	2043	1029
665	2046	1026
666	2050	1023
667	2057	1022
668	2060	1019
669	2063	1016
670	2065	1012
671	2068	1009
672	2071	1006
673	2074	1003
674	2077	1000
675	2080	997
676	2082	993
677	2084	990
678	2087	986
679	2090	983
680	2092	980
681	2095	977
682	2098	973
683	2100	970
684	2103	967
685	2107	964
686	2109	961
687	2111	957
688	2114	954
689	2116	951
690	2121	948
691	2123	945
692	2126	941
693	2128	938
694	2130	935
695	2133	931
696	2135	928
697	2138	925
698	2141	922
699	2144	919
700	2147	915
701	2151	913
702	2154	910
703	2156	906
704	2158	903
705	2161	899
706	2164	897
707	2166	893
708	2168	890
709	2171	886
710	2173	883
711	2176	880
712	2179	877
713	2181	873
714	2184	870
715	2186	867
716	2188	863
717	2191	860
718	2198	859
719	2201	856
720	2203	852
721	2205	849
722	2207	845
723	2210	842
724	2212	839
725	2214	835
726	2216	832
727	2219	829
728	2221	825
729	2226	823
730	2232	821
731	2234	818
732	2237	814
733	2239	811
734	2242	808
735	2246	805
736	2248	802
737	2251	799
738	2253	795
739	2257	793
740	2261	790
741	2264	787
742	2267	784
743	2269	781
744	2275	778
745	2277	775
746	2280	772
747	2282	769
748	2285	765
749	2289	763
750	2292	759
751	2294	756
752	2297	753
753	2299	750
754	2303	747
755	2306	744
756	2309	741
757	2312	738
758	2314	734
759	2318	732
760	2321	729
761	2324	725
762	2326	722
763	2328	719
764	2331	716
765	2335	713
766	2338	710
767	2341	707
768	2343	703
769	2345	700
770	2349	697
771	2351	694
772	2354	691
773	2356	688
774	2359	684
775	2362	681
776	2366	679
777	2368	675
778	2370	672
779	2373	669
780	2375	666
781	2378	663
782	2382	660
783	2384	657
784	2387	653
785	2390	650
786	2394	648
787	2397	645
788	2400	641
789	2402	638
790	2405	635
791	2408	632
792	2411	629
793	2413	626
794	2416	623
795	2418	619
796	2421	616
797	2423	613
798	2426	610
799	2428	607
800	2431	604
801	2434	600
802	2436	597
803	2439	594
804	2441	591
805	2444	588
806	2447	585
807	2449	582
808	2453	579
809	2456	576
810	2458	573
811	2461	569
812	2464	566
813	2467	563
814	2470	560
815	2473	557
816	2475	554
817	2477	551
818	2479	547
819	2483	545
820	2485	541
821	2488	538
822	2490	535
823	2492	532
824	2495	529
825	2499	526
826	2502	523
827	2506	520
828	2509	517
829	2511	514
830	2515	511
831	2517	508
832	2519	505
833	2522	502
834	2524	498
835	2528	496
836	2531	492
837	2533	489
838	2535	486
839	2538	483
840	2541	480
841	2544	477
842	2546	474
843	2548	471
844	2552	468
845	2554	465
846	2558	462
847	2560	459
848	2563	455
849	2566	452
850	2568	449
851	2572	446
852	2575	443
853	2577	440
854	2579	437
855	2582	434
856	2585	431
857	2590	428
858	2593	425
859	2598	423
860	2601	419
861	2604	416
862	2607	413
863	2609	410
864	2611	407
865	2613	404
866	2616	401
867	2619	398
868	2622	395
869	2624	392
870	2627	389
871	2629	386
872	2632	383
873	2635	379
874	2638	376
875	2641	373
876	2644	370
877	2646	367
878	2649	364
879	2652	361
880	2654	358
881	2657	355
882	2659	352
883	2662	349
884	2664	346
885	2667	343
886	2669	340
887	2672	337
888	2674	333
889	2678	331
890	2683	328
891	2688	325
892	2691	322
893	2694	319
894	2697	316
895	2699	313
896	2702	310
897	2704	307
898	2707	304
899	2710	301
900	2712	298
901	2715	294
902	2717	291
903	2739	290
904	2744	288
905	2747	285
906	2750	281
907	2753	278
908	2757	276
909	2759	272
910	2762	269
911	2765	266
912	2769	263
913	2773	260
914	2776	257
915	2780	255
916	2783	251
917	2788	249
918	2790	245
919	2793	242
920	2795	239
921	2797	236
922	2801	233
923	2803	230
924	2805	227
925	2808	224
926	2810	221
927	2814	218
928	2818	215
929	2820	212
930	2823	209
931	2826	206
932	2829	203
933	2833	200
934	2835	197
935	2838	194
936	2841	191
937	2844	188
938	2848	185
939	2850	181
940	2852	178
941	2855	175
942	2857	172
943	2861	169
944	2864	166
945	2866	163
946	2869	160
947	2872	157
948	2875	154
949	2881	151
950	2884	148
951	2887	145
952	2890	142
953	2893	139
954	2896	136
955	2899	133
956	2901	130
957	2904	127
958	2908	124
959	2911	121
960	2914	118
961	2917	115
962	2921	112
963	2925	109
964	2927	106
965	2930	103
966	2934	100
967	2937	97
968	2940	94
969	2942	91
970	2945	87
971	2948	84
972	2951	81
973	2955	78
974	2958	75
975	2961	72
976	2964	69
977	2967	66
978	2969	63
979	2972	60
980	2974	57
981	2977	54
982	2980	51
983	2983	48
984	2986	45
985	2988	42
986	2990	39
987	2993	36
988	2996	33
989	2999	30
990	3002	27
991	3004	24
992	3007	21
993	3011	18
994	3014	15
995	3020	12
996	3022	9
997	3025	6
998	3027	3
999	3029	0
